bybit_symbol,binance_symbol,name,multiplier,tickSize,minOrderQty,qtyStep
SQDUSDT,SQDUSDT,SQD,1,1e-05,1.0,1.0
SSVUSDT,SSVUSDT,SSV,1,0.001,0.01,0.01
STABLEUSDT,STABLEUSDT,STABLE,1,1e-06,10.0,10.0
STBLUSDT,STBLUSDT,STBL,1,1e-05,1.0,1.0
STEEMUSDT,STEEMUSDT,STEEM,1,1e-05,1.0,1.0
STGUSDT,STGUSDT,STG,1,1e-05,0.1,0.1
STORJUSDT,STORJUSDT,STORJ,1,1e-05,0.1,0.1
STOUSDT,STOUSDT,STO,1,1e-05,1.0,1.0
STRKUSDT,STRKUSDT,STRK,1,1e-05,0.1,0.1
STXUSDT,STXUSDT,STX,1,0.0001,0.1,0.1
SUIUSDT,SUIUSDT,SUI,1,0.0001,10.0,10.0
SUNUSDT,SUNUSDT,SUN,1,1e-06,10.0,10.0
SUPERUSDT,SUPERUSDT,SUPER,1,0.0001,1.0,1.0
SUSDT,SUSDT,S,1,1e-05,1.0,1.0
SUSHIUSDT,SUSHIUSDT,SUSHI,1,0.0001,0.1,0.1
SWARMSUSDT,SWARMSUSDT,SWARMS,1,1e-06,1.0,1.0
SXPUSDT,SXPUSDT,SXP,1,1e-05,0.1,0.1
SXTUSDT,SXTUSDT,SXT,1,1e-05,1.0,1.0
SYNUSDT,SYNUSDT,SYN,1,1e-05,1.0,1.0
SYRUPUSDT,SYRUPUSDT,SYRUP,1,1e-05,1.0,1.0
SYSUSDT,SYSUSDT,SYS,1,1e-05,1.0,1.0
TACUSDT,TACUSDT,TAC,1,1e-06,10.0,10.0
TAIKOUSDT,TAIKOUSDT,TAIKO,1,0.0001,0.1,0.1
TAOUSDT,TAOUSDT,TAO,1,0.01,0.001,0.001
TAUSDT,TAUSDT,TA,1,1e-05,1.0,1.0
THETAUSDT,THETAUSDT,THETA,1,0.0001,0.1,0.1
THEUSDT,THEUSDT,THE,1,0.0001,1.0,1.0
TIAUSDT,TIAUSDT,TIA,1,0.0001,0.1,0.1
TLMUSDT,TLMUSDT,TLM,1,1e-06,1.0,1.0
TNSRUSDT,TNSRUSDT,TNSR,1,1e-05,0.1,0.1
TONUSDT,TONUSDT,TON,1,0.0001,0.1,0.1
TOWNSUSDT,TOWNSUSDT,TOWNS,1,1e-06,10.0,10.0
TRBUSDT,TRBUSDT,TRB,1,0.01,0.01,0.01
TREEUSDT,TREEUSDT,TREE,1,1e-05,0.1,0.1
TRUMPUSDT,TRUMPUSDT,TRUMP,1,0.001,0.1,0.1
TRUSTUSDT,TRUSTUSDT,TRUST,1,1e-05,1.0,1.0
TRUTHUSDT,TRUTHUSDT,TRUTH,1,1e-06,10.0,10.0
TRUUSDT,TRUUSDT,TRU,1,1e-06,1.0,1.0
TRXUSDT,TRXUSDT,TRX,1,1e-05,1.0,1.0
TSTBSCUSDT, TSTUSDT, TST,1,1e-05,1.0,1.0
TURTLEUSDT,TURTLEUSDT,TURTLE,1,1e-05,1.0,1.0
TUSDT,TUSDT,T,1,1e-06,10.0,10.0
TUTUSDT,TUTUSDT,TUT,1,1e-06,1.0,1.0
TWTUSDT,TWTUSDT,TWT,1,0.0001,0.1,0.1
UAIUSDT,UAIUSDT,UAI,1,1e-05,1.0,1.0
UBUSDT,UBUSDT,UB,1,1e-06,10.0,10.0
UMAUSDT,UMAUSDT,UMA,1,0.0001,0.1,0.1
UNIUSDT,UNIUSDT,UNI,1,0.001,0.1,0.1
USELESSUSDT,USELESSUSDT,USELESS,1,1e-05,1.0,1.0
USTCUSDT,USTCUSDT,USTC,1,1e-06,10.0,10.0
USUALUSDT,USUALUSDT,USUAL,1,1e-05,1.0,1.0
VANAUSDT,VANAUSDT,VANA,1,0.001,0.01,0.01
VANRYUSDT,VANRYUSDT,VANRY,1,1e-06,1.0,1.0
VELODROMEUSDT,VELODROMEUSDT,VELODROME,1,1e-05,1.0,1.0
VELVETUSDT,VELVETUSDT,VELVET,1,1e-05,10.0,10.0
VETUSDT,VETUSDT,VET,1,1e-06,1.0,1.0
VFYUSDT,VFYUSDT,VFY,1,1e-05,1.0,1.0
VICUSDT,VICUSDT,VIC,1,1e-05,1.0,1.0
VINEUSDT,VINEUSDT,VINE,1,1e-05,1.0,1.0
VIRTUALUSDT,VIRTUALUSDT,VIRTUAL,1,0.0001,1.0,1.0
VVVUSDT,VVVUSDT,VVV,1,0.0001,0.01,0.01
WALUSDT,WALUSDT,WAL,1,1e-05,1.0,1.0
WAXPUSDT,WAXPUSDT,WAXP,1,1e-06,10.0,10.0
WCTUSDT,WCTUSDT,WCT,1,1e-05,1.0,1.0
WIFUSDT,WIFUSDT,WIF,1,0.0001,1.0,1.0
WLDUSDT,WLDUSDT,WLD,1,0.0001,0.1,0.1
WLFIUSDT,WLFIUSDT,WLFI,1,1e-05,1.0,1.0
WOOUSDT,WOOUSDT,WOO,1,1e-05,0.1,0.1
WUSDT,WUSDT,W,1,1e-05,0.1,0.1
XAIUSDT,XAIUSDT,XAI,1,1e-05,1.0,1.0
XANUSDT,XANUSDT,XAN,1,1e-05,1.0,1.0
XCNUSDT,XCNUSDT,XCN,1,1e-06,10.0,10.0
XLMUSDT,XLMUSDT,XLM,1,1e-05,1.0,1.0
XMRUSDT,XMRUSDT,XMR,1,0.01,0.01,0.01
XNYUSDT,XNYUSDT,XNY,1,1e-06,10.0,10.0
XPINUSDT,XPINUSDT,XPIN,1,1e-07,100.0,100.0
XPLUSDT,XPLUSDT,XPL,1,1e-05,1.0,1.0
XRPUSDT,XRPUSDT,XRP,1,0.0001,0.1,0.1
XTZUSDT,XTZUSDT,XTZ,1,0.0001,0.1,0.1
XVGUSDT,XVGUSDT,XVG,1,1e-06,100.0,100.0
XVSUSDT,XVSUSDT,XVS,1,0.001,0.1,0.1
YALAUSDT,YALAUSDT,YALA,1,1e-05,1.0,1.0
YBUSDT,YBUSDT,YB,1,0.0001,0.1,0.1
YFIUSDT,YFIUSDT,YFI,1,1.0,0.0001,0.0001
YGGUSDT,YGGUSDT,YGG,1,1e-05,0.1,0.1
ZBTUSDT,ZBTUSDT,ZBT,1,1e-05,0.1,0.1
ZECUSDT,ZECUSDT,ZEC,1,0.01,0.01,0.01
ZENUSDT,ZENUSDT,ZEN,1,0.001,0.1,0.1
ZEREBROUSDT,ZEREBROUSDT,ZEREBRO,1,1e-05,1.0,1.0
ZETAUSDT,ZETAUSDT,ZETA,1,1e-05,1.0,1.0
ZILUSDT,ZILUSDT,ZIL,1,1e-06,10.0,10.0
ZKCUSDT,ZKCUSDT,ZKC,1,1e-05,0.1,0.1
ZKUSDT,ZKUSDT,ZK,1,1e-05,0.1,0.1
ZORAUSDT,ZORAUSDT,ZORA,1,1e-06,10.0,10.0
ZROUSDT,ZROUSDT,ZRO,1,0.0001,0.1,0.1
ZRXUSDT,ZRXUSDT,ZRX,1,1e-05,1.0,1.0
